Kode,Nama Perusahaan,Sektor Bisnis,Website,Social Media,Kontak
337,BEI: GOLD,Visi Telekomunikasi Infrastruk,,[],
338,BEI: GOLF,Intra Golflink Resorts Tbk.,,[],
339,BEI: GOLL,Golden Plantation Tbk.,,[],
340,BEI: GOOD,Garudafood Putra Putri Jaya Tb,,[],
341,BEI: GOTO,GoTo Gojek Tokopedia Tbk.,,[],
342,BEI: GPRA,Perdana Gapuraprima Tbk.,,[],
343,BEI: GPSO,Geoprima Solusi Tbk.,,[],
344,BEI: GRIA,Ingria Pratama Capitalindo Tbk,,[],
345,BEI: GRPH,Griha Putra Persada Tbk.,,[],
346,BEI: GRPM,Graha Prima Mentari Tbk.,,[],
347,BEI: GSMF,Equity Development Investment,,[],
348,BEI: GTBO,Garda Tujuh Buana Tbk,,[],
349,BEI: GTRA,Grahaprima Suksesmandiri Tbk.,,[],
350,BEI: GTSI,GTS Internasional Tbk.,,[],
351,BEI: GULA,Aman Agrindo Tbk.,,[],
352,BEI: GUNA,Gunanusa Eramandiri Tbk.,,[],
353,BEI: GWSA,Greenwood Sejahtera Tbk.,,[],
354,BEI: GZCO,Gozco Plantations Tbk.,,[],
355,BEI: HADE,Himalaya Energi Perkasa Tbk.,,[],
356,BEI: HAIS,Hasnur Internasional Shipping,,[],
357,BEI: HAJJ,Arsy Buana Travelindo Tbk.,,[],
358,BEI: HALO,Haloni Jane Tbk.,,[],
359,BEI: HATM,Habco Trans Maritima Tbk.,,[],
360,BEI: HBAT,Minahasa Membangun Hebat Tbk.,,[],
361,BEI: HDFA,Radana Bhaskara Finance Tbk.,,[],
362,BEI: HDIT,Hensel Davest Indonesia Tbk.,,[],
363,BEI: HDTX,Panasia Indo Resources Tbk.,,[],
364,BEI: HEAL,Medikaloka Hermina Tbk.,,[],
365,BEI: HELI,Jaya Trishindo Tbk.,,[],
366,BEI: HERO,Hero Supermarket Tbk.,,[],
367,BEI: HEXA,Hexindo Adiperkasa Tbk.,,[],
368,BEI: HILL,Hillcon Tbk.,,[],
369,BEI: HITS,Humpuss Intermoda Transportasi,,[],
370,BEI: HKMU,HK Metals Utama Tbk.,,[],
371,BEI: HMSP,H.M. Sampoerna Tbk.,,[],
372,BEI: HOKI,Buyung Poetra Sembada Tbk.,,[],
373,BEI: HOME,Hotel Mandarine Regency Tbk.,,[],
374,BEI: HOMI,Grand House Mulia Tbk.,,[],
375,BEI: HOPE,Harapan Duta Pertiwi Tbk.,,[],
376,BEI: HOTL,Saraswati Griya Lestari Tbk.,,[],
377,BEI: HRME,Menteng Heritage Realty Tbk.,,[],
378,BEI: HRTA,Hartadinata Abadi Tbk.,,[],
379,BEI: HRUM,Harum Energy Tbk.,,[],
380,BEI: HUMI,Humpuss Maritim Internasional,,[],
381,BEI: HYGN,Ecocare Indo Pasifik Tbk.,,[],
382,BEI: IATA,MNC Energy Investments Tbk.,,[],
383,BEI: IBFN,Intan Baru Prana Tbk.,,[],
384,BEI: IBOS,Indo Boga Sukses Tbk.,,[],
385,BEI: IBST,Inti Bangun Sejahtera Tbk.,,[],
386,BEI: ICBP,Indofood CBP Sukses Makmur Tbk,,[],
387,BEI: ICON,Island Conces Indonesia Tbk.,,[],
388,BEI: IDEA,Idea Indonesia Akademi Tbk.,,[],
389,BEI: IDPR,Indonesia Pondasi Raya Tbk.,,[],
390,BEI: IFII,Indonesia Fibreboard Industry,,[],
391,BEI: IFSH,Ifishdeco Tbk.,,[],
